text;Labeling;;;
"MATI KETAWA CARA SKB!! LUCUNYA ALASAN PEMBUBARAN FPI!!

Refly Harun Channel
https://t.co/Huipu9RilT… https://t.co/UCz6pbyrBS";Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @conan_idn: Kalau kapasitas otak gak peduli bahkan gak paham demokrasi, ya pasti kalian @BEMUI_Official akan dituduh macam2.
Ya sudahlah…";Negative;;;
RT @Brains_Burnt: Deklarasi Front Persatuan Islam. Karo Penmas Divisi Humas Polri Brigjen Rusdi mengatakan, pembubaran akan dilakukan jika…;Positive;;;
RT @siregar0308: Dia juga menduga pembubaran FPI ada kaitannya dengan kekalahan Basuki Tjahaja Purnama alias Ahok dalam Pilkada DKI Jakarta…;Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
RT @siregar0308: Sebelumnya, Mahfud MD mengumumkan pembubaran FPI pada 30 Desember 2020. Sebab, sejak 21 Juni 2019 secara de jure telah bub…;Positive;;;
RT @siregar0308: Sebelumnya, Mahfud MD mengumumkan pembubaran FPI pada 30 Desember 2020. Sebab, sejak 21 Juni 2019 secara de jure telah bub…;Positive;;;
"RT @Brains_Burnt: PB Himpunan Mahasiswa Islam menyatakan sikap : Mendukung Pembubaran Organisasi Anti Negara seperti FPI. 

Ada saran bang…";Positive;;;
"RT @selfmirror_: 2. Pernyataan ini menanggapi adanya aksi deklarasi ormas Front Persatuan Islam (FPI).

Karo Penmas Divisi Humas Polri Brig…";Positive;;;
"RT @RETHA_Monicaa: FPI dibubarkan karena sering melanggar hukum. 

Pembubaran FPI bukan berarti pemerintah anti Islam, masih banyak organis…";Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @Panglima_Minal: BEM KAMPUS LAIN PADA TIDUR NIH !!<U+0001F621>

""Dan sebenarnya ada satu hal yang mereka luput, Undang-undang 16 Tahun 2017 karena…";Positive;;;
RT @siregar0308: Dia juga menduga pembubaran FPI ada kaitannya dengan kekalahan Basuki Tjahaja Purnama alias Ahok dalam Pilkada DKI Jakarta…;Positive;;;
RT @siregar0308: Dia juga menduga pembubaran FPI ada kaitannya dengan kekalahan Basuki Tjahaja Purnama alias Ahok dalam Pilkada DKI Jakarta…;Positive;;;
"RT @geloraco: Sepakat Pembubaran FPI, Masinton: Negara Lindungi Masyarakat Dari Organisasi Yang Antidemokrasi
https://t.co/UEO2AHcsfR";Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @jitoe02: Pakar Kaitkan Pembubaran FPI dengan Kalahnya Ahok di Pilkada, Ferdinand: Dagelan, tak Layak Didengar

Lawan Hoax Neo FPI &amp; Kov…";Negative;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @__GoldenAngel_: Untuk mahasiswa kemarin yg sok kemlinti baca nih

Ini udah pakar lho 

Kebijakan yang dilakukan pemerintah telah sesuai…";Negative;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Negative;;;
RT @seruanhl: Wakil Ketua Komisi III DPR RI dari Fraksi Partai NasDem Ahmad Sahroni menyatakan langkah pemerintah membubarkan dan menetapka…;Positive;;;
RT @SantorinisSun: Ketika kt kaget dgn reaksi BEM sebuah PT terkemuka thd pembubaran FPI yg entah apa motivasinya...berikut ada tulisan dr…;Positive;;;
"RT @conan_idn: Kalau kapasitas otak gak peduli bahkan gak paham demokrasi, ya pasti kalian @BEMUI_Official akan dituduh macam2.
Ya sudahlah…";Negative;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
@pakmul63 Rupanya sejak tahun 2017, kaum oligarki sdh mensetting kebijakan pembubaran ormas buat melakukan pembubar… https://t.co/e9GLR0ci17;Negative;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @SirianaGde: Bubarin FPI blunder besar Jokowi
https://t.co/OjAhhhQmu9";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"@geloraco FPI membantu masyarakat yg kesusahan terkena bencana berarti membantu meringankan tugas negara.
Sementara… https://t.co/Vf1ckMvQ1K";Negative;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Negative;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Positive;;;
"RT @idtodayco: Bantah Bela FPI dalam Pernyataan Sikap, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan 
https://t.co/6cNRJsFnDx";Positive;;;
"RT @muannas_alaidid: BEM UI Minta Cabut SKB Pembubaran FPI, Muannas: sebagai Intelektual Terdidik Jangan Mau Ditunggangi!
https://t.co/CK9z…";Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @__GoldenAngel_: Untuk mahasiswa kemarin yg sok kemlinti baca nih

Ini udah pakar lho 

Kebijakan yang dilakukan pemerintah telah sesuai…";Negative;;;
RT @seruanhl: Eks Juru Bicara Jokowi-Maruf Amin Dedek Prayudi alias Dedek Uki membongkar borok efpei hingga dibubarkan. Dia mengomentari pe…;Negative;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @Markonah76: Fpi dah hilang gak perlu dibahas,
Kalau mau bahas fpi yang baru dimunculkan harus dibubarkan lagi.

Lawan Hoax Neo FPI &amp; Ko…";Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @OposisiCerdas: BEM UI Bantah Bela FPI: Ini soal Landasan Pembubaran Ormas
https://t.co/96CKLLPcCz";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @SirianaGde: Bubarin FPI blunder besar Jokowi
https://t.co/OjAhhhQmu9";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @OposisiCerdas: BEM UI Bantah Bela FPI: Ini soal Landasan Pembubaran Ormas
https://t.co/96CKLLPcCz";Positive;;;
"RT @OposisiCerdas: BEM UI Bantah Bela FPI: Ini soal Landasan Pembubaran Ormas
https://t.co/96CKLLPcCz";Positive;;;
RT @muannas_alaidid: Keputusan pemerintah sudah pas soal pembubaran FPI sesuai dengan prinsip demokrasi dan konstitusional, ngapain ribut.…;Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Negative;;;
"RT @RETHA_Monicaa: Survei Charta Politica &amp; SMRC menunjukkan hasil bhw, masyarakat menjwb setuju dgn pembubaran FPI. 
FPI dinilai kerap mel…";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"BEM KAMPUS LAIN PADA TIDUR NIH !!<U+0001F621>

""Dan sebenarnya ada satu hal yang mereka luput, Undang-undang 16 Tahun 2017 kar… https://t.co/gYpEgPyOKp";Negative;;;
"RT @kompascom: Thread: 

BEM UI Kritik Pembubaran FPI oleh Pemerintah Tanpa Peradilan - #BEMUI
https://t.co/yBUrdsxUwy";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @OposisiCerdas: BEM UI Bantah Bela FPI: Ini soal Landasan Pembubaran Ormas
https://t.co/96CKLLPcCz";Positive;;;
"RT @conan_idn: Kalau kapasitas otak gak peduli bahkan gak paham demokrasi, ya pasti kalian @BEMUI_Official akan dituduh macam2.
Ya sudahlah…";Negative;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"Alasan Pembubaran FPI     Lawan Hoax Neo FPI &amp; Kovid
#BasmiKelompokProTerorisme https://t.co/eiHp9XwgRB";Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @OposisiCerdas: BEM UI Bantah Bela FPI: Ini soal Landasan Pembubaran Ormas
https://t.co/96CKLLPcCz";Positive;;;
RT @tribunnews: Dituduh Dukung FPI, BEM UI: Kami Fokus Kebijakan Pembubaran Ormas Tanpa Peradilan https://t.co/84HBUOT5yK via @tribunnewswi…;Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @muannas_alaidid: Beneran UI ini ? UU Ormas itu konstitusional sdh selesai di MK &amp; tdk halangi mrk yg dibubarkan unt tempuh ke pengadila…";Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @muannas_alaidid: BEM UI Minta Cabut SKB Pembubaran FPI, Muannas: sebagai Intelektual Terdidik Jangan Mau Ditunggangi!
https://t.co/CK9z…";Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
RT @HisyamMochtar: Jika pembubaran FPI karena dituduh anggotanya ada yang terlibat terorisme. Apa salahnya bubarkan PDIP karena banyak kade…;Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @DSutiyanti: Survei Membuktikan, Publik Puas Terhadap Jokowi Serta Lega HRS Ditangkap Diiringi Pembubaran FPI

Puas banget, lihat fadliz…";Positive;;;
"RT @geloraco: Sepakat Pembubaran FPI, Masinton: Negara Lindungi Masyarakat Dari Organisasi Yang Antidemokrasi
https://t.co/UEO2AHcsfR";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @ayahnyafaris_id: Pdhl FPI tidak merasa didukung BEM UI, 5 Poin yg dikritisi teman² BEM UI adl ""Proses Pembubaran Tanpa Peradilan"", buka…";Negative;;;
"RT @conan_idn: Kalau kapasitas otak gak peduli bahkan gak paham demokrasi, ya pasti kalian @BEMUI_Official akan dituduh macam2.
Ya sudahlah…";Negative;;;
"RT @Markonah76: Fpi dah hilang gak perlu dibahas,
Kalau mau bahas fpi yang baru dimunculkan harus dibubarkan lagi.

Lawan Hoax Neo FPI &amp; Ko…";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
"RT @DSutiyanti: Survei Membuktikan, Publik Puas Terhadap Jokowi Serta Lega HRS Ditangkap Diiringi Pembubaran FPI

Puas banget, lihat fadliz…";Positive;;;
"RT @narkosun: Saya kira masuk UI itu sudah standar kecerdasan. Ealah ternyata ada yg kayak gini. 

BEM UI Desak Negara Cabut SKB Pembubaran…";Positive;;;
"RT @denni_sauya: 3. Simak juga salah satu alasan pemerintah tentang pembubaran ormas Epe'i..!! 

Lawan Hoax Neo FPI &amp; Kovid
#BasmiKelompokP…";Positive;;;
RT @lawjusticeco: Amnesty Internasional Pastikan Pembubaran FPI Langgar Hak Berserikat https://t.co/FV4dXs7TRr;Positive;;;
"RT @denni_sauya: 2. Lembaga Dakwah NU Kota Denpasar mendukung pembubaran Epe'i.

Lawan Hoax Neo FPI &amp; Kovid
#BasmiKelompokProTerorisme http…";Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @DSutiyanti: Survei Membuktikan, Publik Puas Terhadap Jokowi Serta Lega HRS Ditangkap Diiringi Pembubaran FPI

Puas banget, lihat fadliz…";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
"RT @denni_sauya: 5. Pembubaran Epe'i murni karena hukum, dalam AD/ART mereka pun tidak mencantumkan azas Pancasila.

Lawan Hoax Neo FPI &amp; K…";Positive;;;
RT @tribunnews: Dituduh Dukung FPI, BEM UI: Kami Fokus Kebijakan Pembubaran Ormas Tanpa Peradilan https://t.co/84HBUOT5yK via @tribunnewswi…;Positive;;;
Maling teriak maling. Partai Demokrasi tp anti demokrasi.https://t.co/o5VeCrOJ2Y;Negative;;;
"RT @Widyarenee: Ciseeng, Jawa Barat...
Mendukung Pembubaran FPI ya, Ustad. Semoga anggota FPI belajar agama lagi deh di masjid2 yg adem Ula…";Positive;;;
"RT @Markonah76: Fpi dah hilang gak perlu dibahas,
Kalau mau bahas fpi yang baru dimunculkan harus dibubarkan lagi.

Lawan Hoax Neo FPI &amp; Ko…";Positive;;;
"RT @nar_dwi: Aku juga mau ucapin juga.. 
TERIMA KASIH 
TNI - POLRI  Atas pembubaran Ormas FPI
Hidup TNI POLRI untuk NKRI
 @Puspen_TNI 
 @Di…";Positive;;;
"@OposisiCerdas @ViviAgoestina Oh, ya. Koq di #Medan pada tiarap ya?

Selamat Sukses Pada Pemerintah, Kami Kawal Pem… https://t.co/NgueG6U9jO";Positive;;;
RT @idtodayco: BEM UI Kecam Keras Pembubaran FPI dan Maklumat Kapolri, Ini Alasannya https://t.co/eFksfECQW0;Negative;;;
"RT @conan_idn: Kalau kapasitas otak gak peduli bahkan gak paham demokrasi, ya pasti kalian @BEMUI_Official akan dituduh macam2.
Ya sudahlah…";Positive;;;
"RT @jitoe02: Pakar Kaitkan Pembubaran FPI dengan Kalahnya Ahok di Pilkada, Ferdinand: Dagelan, tak Layak Didengar

Lawan Hoax Neo FPI &amp; Kov…";Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Positive;;;
"RT @geloraco: Sepakat Pembubaran FPI, Masinton: Negara Lindungi Masyarakat Dari Organisasi Yang Antidemokrasi
https://t.co/UEO2AHcsfR";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @DSutiyanti: Survei Membuktikan, Publik Puas Terhadap Jokowi Serta Lega HRS Ditangkap Diiringi Pembubaran FPI

Puas banget, lihat fadliz…";Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Positive;;;
"RT @SheeraKe: Hasil servei : Publik  puas dengan pembubaran efpeayy

Yang ga puas cuma Zonkkk 
Kaderoon dan golongan <U+0001F61C>

Berangus ulama into…";Positive;;;
"RT @__GoldenAngel_: Untuk mahasiswa kemarin yg sok kemlinti baca nih

Ini udah pakar lho 

Kebijakan yang dilakukan pemerintah telah sesuai…";Negative;;;
"Untuk mahasiswa kemarin yg sok kemlinti baca nih

Ini udah pakar lho 

Kebijakan yang dilakukan pemerintah telah se… https://t.co/bVT3wwnnqe";Negative;;;
"RT @nar_dwi: Aku juga mau ucapin juga.. 
TERIMA KASIH 
TNI - POLRI  Atas pembubaran Ormas FPI
Hidup TNI POLRI untuk NKRI
 @Puspen_TNI 
 @Di…";Positive;;;
"Aku juga mau ucapin juga.. 
TERIMA KASIH 
TNI - POLRI  Atas pembubaran Ormas FPI
Hidup TNI POLRI untuk NKRI… https://t.co/W2ELgnIUv4";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Negative;;;
"RT @geloraco: Sepakat Pembubaran FPI, Masinton: Negara Lindungi Masyarakat Dari Organisasi Yang Antidemokrasi
https://t.co/UEO2AHcsfR";Positive;;;
"RT @DSutiyanti: Survei Membuktikan, Publik Puas Terhadap Jokowi Serta Lega HRS Ditangkap Diiringi Pembubaran FPI

Puas banget, lihat fadliz…";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Positive;;;
"RT @geloraco: Luruskan Pernyataan Kadernya, Arya Kharisma: PB HMI Tidak Pernah Mendukung Pembubaran FPI
https://t.co/raUCEDmBQp";Negative;;;
"RT @FirzaHusain: Emang FPI punya badan hukum, klu ga punya gimana mau melalui mekanisme peradilan ? <U+0001F92D><U+0001F92D><U+0001F60A>

BEM UI memberikan pernyataan terka…";Positive;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Negative;;;
"RT @must_Ally09: Wakil Rakyat me wakili rakyat Bapak2 juga yang mengesahkan UU pemubaran Ormas yang bertentangan dengan Pancasila.
Jadi apa…";Positive;;;
"RT @menxurigakan: Bahwa FPI tidak te-register menjadi alasan pembubaran &amp; pelarangan kegiatan FPI, ini juga jelas tidak sesuai dengan UU Or…";Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Negative;;;
Ketua MUI Prov. Malut mendukung Pemerintah terkait SKB 6 Menteri tentang Pembubaran FPI https://t.co/oscH2hvfD9;Positive;;;
"RT @WSiswojo: BEM UI RECEH/RONGSOKAN
Hubungane apa pelarangan FPI dg kalian2 mahasiswa??? Apa bedanya gerakan HTI DG FPI? Kl kalian2 bela /…";Positive;;;
RT @Markonah76: Karo Penmas Divisi Humas Polri Brigjen Rusdi Hartono mengatakan, polri akan melakukan pembubaran jika ormas fpi yg baru itu…;Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Positive;;;
Terima Kunjungan Tokoh Agama, Aipda Budi Bahas Kegiatan Keagamaan dan Pembubaran FPI https://t.co/DUphSNFiy0;Positive;;;
"RT @selfmirror_: 2. Pernyataan ini menanggapi adanya aksi deklarasi ormas Front Persatuan Islam (FPI).

Karo Penmas Divisi Humas Polri Brig…";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Positive;;;
RT @siregar0308: Dia juga menduga pembubaran FPI ada kaitannya dengan kekalahan Basuki Tjahaja Purnama alias Ahok dalam Pilkada DKI Jakarta…;Negative;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
RT @siregar0308: Sebelumnya, Mahfud MD mengumumkan pembubaran FPI pada 30 Desember 2020. Sebab, sejak 21 Juni 2019 secara de jure telah bub…;Positive;;;
