screen_name;text;Labeling
portaljabarnet;"KOTA BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil mengikuti acara ""Penyerahan Sertifikat Tanah untuk Rakyat se-Indonesi ... https://t.co/9UYwZOPkTQ #SertifikatTanah #PemdaJabar #RidwanKamil";Positive
ClickBandung;Ridwan Kamil: Bandung Raya dan Bodebek Kembali WFH Mulai 11 Januari 2021 https://t.co/y9ryoCAWxr https://t.co/Rs9Zm5pvHr;Positive
liputan6dotcom;Ridwan Kamil Makan Malam dengan Pemulung di Malam Tahun Baru https://t.co/FjKfgI5rok;Positive
liputan6dotcom;Ridwan Kamil : Warga Jawa Barat Wajib Divaksinasi COVID-19 Sinovac Impor https://t.co/V6D3nmvRpZ;Positive
hajinewsonline;Ridwan Kamil Fokus WFH 11-25 Januari, Bandung Raya dan Bodebek https://t.co/8D1AO4D4aK;Positive
republikaonline;Emil telah memerintahkan kepala daerah untuk simulasi vaksinasi pekan ini. https://t.co/KWMeTw3Usz;Positive
republikaonline;Ridwan Kamil sebut Kapolda Jabar laporkan paket vaksin Sinovac sudah ada di Biofarma https://t.co/dCDP96r87v;Positive
republikaonline;Diharapkan pembangunan pemuda terus meningkat dan menjadi yang terbaik di Indonesia https://t.co/Un2Ja5YzDw;Positive
republikaonline;Banyak petugas medis yang gugur melawan Covid-19, setiap orang harusnya berkontribusi https://t.co/rsE9ZRjBfx;Positive
republikaonline;Teknis aturan PSBB akan disampaikan besok, dimulai pada 11 Januari. https://t.co/UiT0otQi9G;Positive
republikaonline;Jabar mendapat alokasi 97.080 dosis yang terbagi dalam dua tahap distribusi.  https://t.co/z34OcHJSEH;Positive
republikaonline;Emil sudah terdaftar sebagai relawan uji klinis vaksin yang dilakukan oleh Biofarma. https://t.co/lfZldHNO39;Positive
republikaonline;Industri pertanian dan pangan ternyata mampu bertahan bahkan melesat selama pandemi  https://t.co/A0cx00bkCt;Positive
jawapos;Gubernur Ridwan Kamil Sebut Ada 65 Wisatawan Diduga Positif Covid-19 https://t.co/OFaaiYaciP;Positive
jawapos;Ridwan Kamil Siapkan Teknis Pembatasan Aktivitas Bandung Raya-Bodebek https://t.co/2alUDkvYwL;Positive
jawapos;Ridwan Kamil Jamin Pengamanan Vaksin yang Sudah Sampai di Biofarma https://t.co/AAUY6P2o4b;Positive
jawapos;Ridwan Kamil Sebut Vaksinasi Covid-19 Sebagai Bentuk Bela Negara https://t.co/syEdkfzGLN;Positive
reiwacaniago;@Bagas_eaw @Lubis76777916 @RachlanNashidik Sdh loe gak usah pake vaksin nya. Untung, jd bisa buat org lain. Gitu aja repot. Loe lihat 1700 relawan di bandung, termasuk ridwan kamil, pada mati gak mereka tuh. Beruntung negara gak ngeluarkan biaya vaksin buat elo yg rewel bin cerewet;Positive
CNNIndonesia;Kejar Herd Immunity, Ridwan Kamil Incar 67 Juta Dosis Vaksin https://t.co/njTOvHFomq;Positive
CNNIndonesia;Ridwan Kamil Minta Garut Mulai Simulasi Suntik Vaksin Covid https://t.co/hTMabuFgLU;Positive
CNNIndonesia;Ridwan Kamil: Tak Boleh Menolak Jika Ditunjuk untuk Divaksin https://t.co/E6bLzT2s7i;Positive
CNNIndonesia;Ridwan Kamil Jamin Pengamanan Vaksin Corona di Bio Farma https://t.co/wLdbhUjpwy;Positive
YenaGirlie;Ridwan Kamil Harap Tak Ada Nakes Menolak Vaksinasi Covid-19 https://t.co/YifUUocBu5 https://t.co/LVR1TI8bV5;Positive
YenaGirlie;Ridwan Kamil Pastikan Jaga Ketat Paket Vaksin Covid-19 di Gudang Bio Farma https://t.co/tSED532Y3C https://t.co/8pBvYlCeYB;Positive
dirty_links;Ridwan Kamil Harap Tak Ada Nakes Menolak Vaksinasi Covid-19 https://t.co/hVxMn1BnnT https://t.co/ojsR7gA7vh;Positive
luthkurniawan;Pilpres 2024 sudah terlihat, bakal seperti pilkada jabar,  terdapat 3 calon. Ganjar-risma, anies-...., ridwan kamil-....;Positive
suncflovwer;Oh iya, lagi mikirin nih... Ridwan kamil kan sangat dihargai warga jawa barat. Nanti kalau dia dipindahkan ibu kota kayanya bakalan banyak fitnah. Canda fitnah...wkwkwk;Positive
merdekadotcom;Ridwan Kamil: Laporan Kapolda Malam Tahun Baru di Jabar Sepi, Artinya Warga Patuh: Pergerakan dan aktivitas yang minim pun terjadi di wilayah pinggiran Kota Bandung. Hal tersebut berdasarkan pantauan CCTV dan laporan pihak kepolisian. Ini mengindikasikan… https://t.co/UDueDji5Z0;Positive
merdekadotcom;"Ridwan Kamil Imbau Warga Jabar Terafiliasi FPI Taati SKB Pemerintah: ""Indonesia butuh kedamaian, butuh ketaatan, mari kita fokus pada penyelesaian pandemi Covid-19, kita kurangi hal-hal yang mengurangi konsentrasi kita. Karena hukum adalah panglima… https://t.co/XKG9CAYHn8";Positive
merdekadotcom;Tes Acak ke Ribuan Wisatawan di Jabar, 65 Orang Reaktif Covid-19: Gubernur Jawa Barat, Ridwan Kamil mengungkapkan ada 65 wisatawan yang reaktif Covid-19 berdasarkan rapid tes antigen selama libur panjang akhir tahun 2020. Jumlah tersebut merupakan hasil… https://t.co/3vVeQCNcZF;Positive
merdekadotcom;Ridwan Kamil Klaim Jabar 10 Kali Lipat Siap Gelar Vaksinasi Covid-19: Ia mengusulkan kepada pemerintah pusat agar proses vaksinasi bisa dipercepat. Pasalnya, penyuntikan vaksin yang diprediksi bisa selesai dalam 15 bulan menurut dia terlalu lama. https://t.co/Z5xrI5u2lM;Positive
merdekadotcom;"Subuh Keliling di Garut, Ridwan Kamil Minta Pemda Gelar Simulasi Vaksinasi: ""Vaksinasi akan dimulai pertama kepada para tenaga kesehatan, kedua profesi non tenaga kesehatan, tapi yang bersinggungan dengan Covid-19, yaitu TNI, Polri, petugas pelayanan… https://t.co/5K2HnDj6Wk";Positive
merdekadotcom;Ridwan Kamil Sebut Wilayah Bandung Raya dan Bodebek jadi Fokus Pembatasan Kegiatan: Sebelum diberlakukan, Ridwan Kamil akan memaksimalkan sisa waktu untuk melakukan sosialisasi kepada masyarakat. Dia meminta media massa ikut membantu mengedukasi… https://t.co/ZndVc9Myyc;Positive
merdekadotcom;"Ridwan Kamil Wanti-Wanti Pembagian Bansos Corona Tunai Rp300.000 Tak Bikin Kerumunan: ""Presiden memberikan arahan kepada Pemda harus mengawal langsung, untuk memastikan tidak ada pemotongan. Potongan (bantuan) dengan alasan apa pun ranahnya pidana akan… https://t.co/gpdASaSPVc";Positive
merdekadotcom;Ridwan Kamil Klaim Ribuan Fasilitas Kesehatan di Jabar Siap Vaksinasi Covid-19: Distribusi vaksin masih berjalan ke berbagai daerah. Namun, dia belum mendapat laporan sejauh mana prosesnya. Hanya saja, jika berbicara target yang ditetapkan presiden,… https://t.co/DZIWqKU4Bq;Positive
merdekadotcom;"Ridwan Kamil: Depok dan Karawang Siaga 1, Keterisian Ruang Isolasi Sudah Darurat: ""Karena keterisian ruang isolasi juga sudah darurat, di Karawang keterisiannya 110 persen jadi ini mungkin rekor terburuk yang pernah kita ada, jadi sehingga harus kita… https://t.co/DR5KqNhH4x";Positive
merdekadotcom;"Bandung Sepi Jelang Tahun Baru, Ridwan Kamil Sebut Kepatuhan Warga Jabar Baik: ""Kami melakukan inspeksi di Ibu Kota Jawa Barat. Tim melakukan pengecekan di pinggiran. Terpantau secara visual minim, sepi bahkan jika dibandingkan hari normal,"" kata Ridwan… https://t.co/UxmObFMd0r";Positive
merdekadotcom;Ridwan Kamil Putuskan PSBB di Bogor, Depok dan Bekasi Diperpanjang Hingga 20 Januari: Ridwan Kamil meminta Bupati Bogor, Wali Kota Bogor, Wali Kota Depok, Bupati Bekasi, dan Wali Kota Bekasi menerapkan Pembatasan Sosial Berskala Besar (PSBB) secara… https://t.co/IpAS7lFmT4;Positive
merdekadotcom;Ridwan Kamil Harap Tak Ada Nakes Menolak Vaksinasi Covid-19: Dia berharap tidak ada tenaga kesehatan yang menolak vaksinasi. Orang yang ditunjuk untuk menjalani vaksinasi diibaratkan kewajiban untuk bela negara. https://t.co/KXa5ta8jAv;Positive
merdekadotcom;Ridwan Kamil Pastikan Jaga Ketat Paket Vaksin Covid-19 di Gudang Bio Farma: Vaksin yang dimaksud oleh Ridwan Kamil adalah 1,8 juta dosis vaksin Covid-19 tahap II buatan perusahaan farmasi asal Tiongkok, Sinovac. Semuanya disimpan dalam 11 kotak… https://t.co/cZSoK97XoN;Positive
ramadhandiaz_;@Rriizzkkyy_ Oh ya btw kata bapak ridwan kamil https://t.co/uFPvEHKcbk;Positive
Alexikurnia;"Ridwan Kamil Ikuti Langkah Menhub, Pakai Hyundai Ioniq &amp; Kona Electric - https://t.co/nUzn4aRRMq https://t.co/fuxCwmwwop";Positive
larassiregar25;Ridwan Kamil: 'Vaksin Adalah Kewajiban Jadi Tak Boleh Menolak Jika Ditunjuk' https://t.co/uOu89wrGlM https://t.co/CsgwSOtaDV;Positive
sqndyprtma;@pokamimii ada, ridwan kamil;Positive
detikcom;Gubernur Jawa Barat Ridwan Kamil menekankan kembali pentingnya vaksinasi sebagai jalan keluar dari pandemi COVID-19. Begini katanya: #RidwanKamil #VaksinCorona https://t.co/rszeHwXmTT;Positive
detikcom;"Video Gubernur Jabar Ridwan Kamil hampir ditabrak oleh pemotor yang ingin memotong jalan. Peristiwa tersebut terjadi saat di Jalan Ir H Djuanda, Dago, Kota Bandung.

via @20detik https://t.co/0cgjeaJGcR";Positive
detikcom;Gubernur Jabar Ridwan Kamil menargetkan vaksinasi COVID-19 bisa rampung maksimal 12 bulan. Untuk mencapai target tersebut perlu menambah tempat penyuntikan. #VaksinCorona #Jabar https://t.co/QNWfUPWTH6;Positive
detikcom;Gubernur Jabar Ridwan Kamil menanggapi pencopotan AAH sebagai Wakil Dekan Bidang Sumberdaya dan Organisasi Fakultas Perikanan dan Ilmu Kelautan (FKIP) Unpad. Apa katanya? #Unpad #RidwanKamil https://t.co/BDdGQhcxw1;Positive
detikcom;"Aduh! Hampir saja Gubernur Jawa Barat Ridwan Kamil ditabrak pemotor sebrono yang berkendara seenaknya dengan tak mengindahkan aturan berkendara. #RidwanKamil 

via @detikoto https://t.co/M75alE9Sig";Positive
detikcom;Gubernur Jawa Barat Ridwan Kamil menanggapi adanya wisatawan yang diputarbalik di Puncak Bogor karena kedapatan tak membawa surat rapid test antigen https://t.co/b6PPAdnbQ2;Positive
detikcom;Apa saja yang terjadi di Jabar hari ini? Berikut ulasannya. https://t.co/x21qxjsrp9;Positive
detikcom;"Peringati hari pernikahan ke-24, Ridwan Kamil berikan hadiah motor custom bergaya klasik untuk istrinya.

via @detikoto https://t.co/xzyoGwYeq4";Positive
detikcom;"Gubernur Jabar Ridwan Kamil mendorong proses vaksinasi COVID-19 bisa dilakukan lebih cepat dari waktu yang ditargetkan pemerintah pusat. Baginya, 15 bulan terlalu lama.

via @20detik https://t.co/SkYhEschvf";Positive
detikcom;Gubernur Jabar Ridwan Kamil menetapkan status siaga 1 untuk penanganan COVID-19 di Kabupaten Karawang dan Kota Depok. Ini titik sebarannya: #VirusCorona #Jabar https://t.co/fGotsZDKyO;Positive
detikcom;"#VIDEO Pemerintah resmi melarang segala aktivitas FPI pada Rabu (30/12). Usai pelarangan tersebut, kantor Gubernur Jawa Barat, Ridwan Kamil, hingga markas TNI-Polri di Jabar dihiasi karangan bunga. Begini penampakannya: 

via @20detik https://t.co/qyA8nLTFEc";Positive
detikcom;#VIDEO Pemerintah resmi melarang segala aktivitas FPI pada Rabu (30/12). Usai pelarangan tersebut, kantor Gubernur Jawa Barat, Ridwan Kamil, hingga markas TNI-Polri di Jabar dihiasi karangan bunga. Begini penampakannya: https://t.co/U0qokMOzg1;Positive
detikcom;Keterisian ruang isolasi COVID-19 di Kabupaten Karawang telah mencapai 110 persen. Hal itu menjadi salah satu pertimbangan Ridwan Kamil untuk menetapkan status siaga 1. #Karawang #VirusCorona https://t.co/D4uuM5epmx;Positive
detikcom;Viral video Gubernur Jabar Ridwan Kamil hampir tertabrak oleh pengguna sepeda motor yang memotong jalan saat menunggangi Motor Royale Anfield miliknya di Jalan Ir H Djuanda, Dago, Kota Bandung. Begini cerita saksi: #RidwanKamil #Bandung https://t.co/Pzk5inhUno;Positive
detikcom;Gubernur Jawa Barat Ridwan Kamil menetapkan PSBB proporsional untuk wilayah Bogor, Depok dan Bekasi (Bodebek) hingga 20 Januari 2021. #PSBB https://t.co/D1n23ZmuOQ;Positive
detikcom;Menjelang pergantian tahun 2021, Gubernur Jawa Barat Ridwan Kamil melakukan inspeksi di Ibu Kota Jawa Barat, Kota Bandung. Dalam inspeksinya, Kang Emil menilai pergerakan masyarakat di Bandung lebih rendah dari hari-hari sebelumnya. https://t.co/3NY4NGqsUM;Positive
detikcom;Bekerja dari rumah atau work from home (WFH) akan kembali dilakukan di wilayah Bodebek dan Bandung Raya mulai 11 Januari 2021. #Jabar #WFH https://t.co/0Fq1sUC9fc;Positive
detikcom;"Sambut tahun baru, Ridwan Kamil mengisi momen ini dengan mengunjungi seorang pemulung yang beberapa waktu lalu viral karena membawa bayinya saat bekerja. #RidwanKamil 

via @detikoto https://t.co/wMLOJPo996";Positive
wannakissurbody;Ternyata jadi pak ridwan kamil berat ya;Positive
tempodotco;Gubernur Jawa Barat Ridwan Kamil mengatakan dua daerah di Jawa Barat berstatus siaga satu karena masuk dalam peta zona merah penyebaran Covid-19 selama empat pekan berturut-turut. #TempoMetro https://t.co/wKxCKYXTcT;Positive
tempodotco;Jawa Barat 14 Januari Mulai Vaksinasi Covid-19? Ini Kata Satgas dan Ridwan Kamil https://t.co/cXbXJD128R #TempoNasional;Positive
tempodotco;Libur Tahun Baru 2021, Ridwan Kamil Kendalikan Kerumunan, Keramaian, Pergerakan https://t.co/14G5ohKUVd #TempoTravel;Positive
tempodotco;"Gubernur Jawa Barat Ridwan Kamil mengaku sedang mengupayakan menekan tingkat keterisian ruang rawat inap rumah sakit rujukan Covid-19 yang kini sudah menembus angka 78 persen. #TempoNasional 
https://t.co/csP3QVgLAp";Positive
tempodotco;Hadiahi Atalia Sepeda Motor Desain Sendiri, Ridwan Kamil Berpesan ke Ibu-ibu https://t.co/ycc7EEt0f7 #TempoSeleb;Positive
tempodotco;Ridwan Kamil menghadiahi istrinya, Atalia Praratya, sepeda motor kopling dengan tampilan retro yang sudah dimodifikasi hasil desainnya sendiri. #TempoSeleb https://t.co/8D202EXciW;Positive
tempodotco;Ridwan Kamil dan Atalia Praratya Rayakan Tahun Baru Bersama Keluarga Pemulung https://t.co/b5WdYnuZNY #TempoSeleb;Positive
tempodotco;"Gubernur Jawa Barat Ridwan Kamil mengaku sedang mengupayakan menekan tingkat keterisian ruang rawat inap rumah sakit rujukan Covid-19 yang kini sudah menembus angka 78 persen. #TempoNasional

https://t.co/fNhahyZwlZ";Positive
tempodotco;Ridwan Kamil Ingin Penyuntikkan Vaksin Covid-19 di Jabar Rampung 6 Bulan https://t.co/KD3RLkwqjr #TempoNasional;Positive
tempodotco;Gaya Ridwan Kamil saat Tinjau Kontainer Pendingin Vaksin Covid-19 https://t.co/fPovcU2rPG #TempoFoto;Positive
tempodotco;Ridwan Kamil Doakan Kesembuhan Aa Gym, Syekh Ali Jaber dan Cinta Netizen https://t.co/hsuEoFq7TU #TempoSeleb;Positive
tempodotco;Ridwan Kamil Umumkan Wilayah Siaga 1 Covid-19, Karawang Terburuk di Jawa Barat https://t.co/ovGButqAUI #TempoMetro;Positive
tempodotco;Ridwan Kamil Olahraga Cang-ucang Angge, Bahasa Ade Rai Leg Day https://t.co/DnOilxyDLr #TempoGaya;Positive
tempodotco;Ridwal Kamil menghadiahi istrinya Atalia Praratya sepeda motor yang dimodifikasi khusus di hari pernikahannya yang ke-24 tahun. #TempoOtomotif https://t.co/YQBfO7lgV4;Positive
tempodotco;Ruang ICU Covid-19 Menipis, Ridwan Kamil Akan Aktifkan Rumah Sakit Darurat https://t.co/h84w0pCT0Z #TempoNasional;Positive
KencanaNada;"Capek siihh tapi happy <U+0001F974><U+0001F970>,
Klo kata Ridwan kamil ""pekerjaan yg paling menyenangkan adalah hobi yg di bayar""<U+263A><U+FE0F> bener bgt ternyata,i feel it and i'm happy<U+0001F60D> https://t.co/jP2Gd6rHav";Positive
rckyabet33;@akhlakpowerbank @hrynt_ @fjrassvet Da ek ngetag ridwan kamil sieun ditewak :(;Positive
alineadotid;"Ridwan Kamil takkan ikut program vaksinasi Covid-19
https://t.co/JUqv0S95CK https://t.co/M6Ha4Ia5Uq";Positive
adviprast;"Udh jelas kan? <U+0001F60A>

https://t.co/8ac0eQBeNI";Positive
Radar_Cirebon;BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil menyalurkan secara simbolis bantuan sosial (bansos) tunai pemerintah pusat dalam hal ini Kemensos, kepada https://t.co/TScezjHwDj;Positive
Radar_Cirebon;GUBERNUR Ridwan Kamil memastikan, sekitar 1.000 lebih pusat kesehatan masyarakat (puskesmas) yang tersebar di Jabar siap menggelar vaksinasi Covid-19. Tak hanya itu, https://t.co/97Rb747Dlk;Positive
Radar_Cirebon;"BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil mengikuti acara ""Penyerahan Sertifikat Tanah untuk Rakyat se-Indonesia"" bersama Presiden Republik Indonesia (RI) secara https://t.co/TpSLAje6LT";Positive
Radar_Cirebon;BANDUNG – Gubernur Jawa Barat (Jabar) Ridwan Kamil menyalurkan secara simbolis bantuan tunai pemerintah pusat kepada masyarakat terdampak pandemi COVID-19, di Aula https://t.co/e48ieHhLye;Positive
Radar_Cirebon;GARUT - Gubernur Jawa Barat (Jabar) Ridwan Kamil kembali menggelar Subuh Berjamaah Keliling atau Subling dengan tetap menerapkan protokol kesehatan di Masjid https://t.co/zAfC2l83QU;Positive
Radar_Cirebon;GUBERNUR Ridwan Kamil menyalurkan secara simbolis bantuan tunai pemerintah pusat kepada masyarakat terdampak pandemi Covid-19, di Aula Timur Gedung Sate, Kota Bandung. https://t.co/Jb8DkAr8wj;Positive
Radar_Cirebon;GUBERNUR Jawa Barat, Ridwan Kamil menyalurkan secara simbolis bantuan tunai pemerintah pusat kepada masyarakat terdampak pandemi Covid-19, di Aula Timur Gedung Sate, https://t.co/7ncRWsUu8z;Positive
Radar_Cirebon;BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil dinobatkan sebagai Bapak Pembangunan Kepemudaan Jabar di ajang KNPI Awards 2020 yang digelar secara https://t.co/eM5ZLyVWTy;Positive
RKmiddleeast;@HSajwanization @MohamedBinZayed Man of century.... MBZ, MBS, RIDWAN KAMIL @ridwankamil https://t.co/tGxYi2VK1m;Positive
kabarpol;Ridwan Kamil Sampaikan Berita Baik untuk Warga Garut https://t.co/SI6OT59M9E;Positive
kabarpol;Ridwan Kamil Sampaikan Ucapan Terimakasih https://t.co/ICE8uZbo5y;Positive
kabarpol;Ridwan Kamil Apresiasi Kepatuhan Masyarakat Hadapi Pergantian Tahun https://t.co/F2B0XWOZ4u;Positive
kabarpol;Ridwan Kamil Bahas Raperda Penyelenggaraan Perkebunan di Penghujung 2020 https://t.co/xELpXBXSRa;Positive
kabarpol;Ridwan Kamil Tanda Tangani Perjanjian Pinjaman Daerah 2021 https://t.co/vcAgUwKU0M;Positive
kabarpol;Syekh Ali Jaber dan Aa Gym Covid-19, Ridwan Kamil: Doa Terbaik Saya untuk Kesembuhan Guru-guru Kita https://t.co/5dP5FrRlxg;Positive
kabarpol;Ridwan Kamil Tinjau Gudang Vaksin Covid-19 https://t.co/uLffH1hxwW;Positive
kabarpolitik;Ridwan Kamil Sampaikan Berita Baik untuk Warga Garut https://t.co/doOYw2tvnf;Positive
kabarpolitik;Ridwan Kamil Tanda Tangani Perjanjian Pinjaman Daerah 2021 https://t.co/a91VGsWPkS;Positive
kabarpolitik;Syekh Ali Jaber dan Aa Gym Covid-19, Ridwan Kamil: Doa Terbaik Saya untuk Kesembuhan Guru-guru Kita https://t.co/RhFiYvqVsd;Positive
kabarpolitik;Ridwan Kamil Sampaikan Ucapan Terimakasih https://t.co/hHrlT9E5Rc;Positive
kabarpolitik;Ridwan Kamil Tinjau Gudang Vaksin Covid-19 https://t.co/4seBD2dTYJ;Positive
kabarpolitik;Ridwan Kamil Apresiasi Kepatuhan Masyarakat Hadapi Pergantian Tahun https://t.co/OQ3g9RRtnx;Positive
kabarpolitik;Ridwan Kamil Bahas Raperda Penyelenggaraan Perkebunan di Penghujung 2020 https://t.co/4uEP1MZq6l;Positive
Antara_Jabar;Gubernur Ridwan Kamil sebut vaksinasi COVID-19 sebagai bentuk bela negara - ANTARA News Jawa Barat https://t.co/00vQLFj76z;Positive
Antara_Jabar;Ini jurus Ridwan Kamil kendalikan COVID-19 saat libur akhir tahun - ANTARA News Jawa Barat https://t.co/pmCNu499vd;Positive
Antara_Jabar;Gubernur Ridwan Kamil minta ANTARA sumbang foto bagi Monumen Pahlawan COVID-19 - ANTARA News Jawa Barat https://t.co/AcWrv4OUSv;Positive
Antara_Jabar;Ridwan Kamil gubernur terpegah dan tervokal kedua setelah Anies Baswedan - ANTARA News Jawa Barat https://t.co/OKlpz9T11x;Positive
Antara_Jabar;KNPI nobatkan Ridwan Kamil Bapak Pembangunan Kepemudaan Jawa Barat - ANTARA News Jawa Barat https://t.co/zKIwu6nxrD;Positive
jabarnewss;"Dianggap Terlalu Lama, Ridwan Kamil Usulkan Vaksinasi Covid-19 Rampung Dalam Enam Bulan
<U+0001F447>
https://t.co/cpT9SdudO4

#jabarnews #beritalokal #beritajabar #beritajawabarat #jawabarat #jabar #dianggapterlalulama #ridwankamil #usulkanvaksin #covid19 #rampungenambulan

@ridwankamil https://t.co/mYOM4HxMeS";Positive
jabarnewss;"Ridwan Kamil Sebut Tingkat Kesembuhan Covid-19 Meningkat Sebesar 84,77 Persen
<U+0001F447>
https://t.co/djTEZdqMV0

#jabarnews #beritalokal #beritahiperlokal #beritajabar #beritajawabarat #jawabarat #jabar #ridwankamil #sebuttingkatkesembuhan #covid19 #meningkat #gubernurjabar
@ridwankamil https://t.co/fbMrRCeNpa";Positive
jabarnewss;"Pemkot Depok Percepat Pembangunan, Ridwan Kamil Manfaatkan Dana CSR
<U+0001F447>
https://t.co/DPsnipJKi1

#jabarnews #beritalokal #beritahiperlokal #harianjabar #beritajabar #beritajawabarat #jawabarat #jabar #pemkotdepok #percepatpembangunan #ridwankamil #manfaatkandanacsr

@ridwankamil https://t.co/Jxp8wqyd3s";Positive
jabarnewss;"Beri Kado Motor Buat Bu Cinta, Ridwan Kamil: Selama Ini Selalu Pinjaman
<U+0001F447>
https://t.co/pbqSS1beeE

#jabarnews #beritalokal #beritahiperlokal #harianjabar #beritajabar #beritajawabarat #jawabarat #jabar #berikadomotor #bucinta #ridwankamil #selalupinjam #ataliapr

@ridwankamil https://t.co/DfRkuLlhEF";Positive
jabarnewss;"Ridwan Kamil Bakal Terapkan Kebijakan WFH di Wilayah Bodebek dan Bandung Raya
<U+0001F447>
https://t.co/8L5cqw00N6

#jabarnews #beritalokal #beritahiperlokal #beritajabar #beritajawabarat #jawabarat #jabar #ridwankamil #bakalterapkan #kebijakanwfh #wilayahbodeek #bandungraya

@ridwankamil https://t.co/Jt9eFN1kTC";Positive
jabarnewss;"Ridwan Kamil Tegaskan Masyarakat Tidak Boleh Tolak Disuntik Vaksin Covid-19
<U+0001F447>
https://t.co/W9HedFbXMS

#jabarnews #beritalokal #beritahiperlokal #beritajabar #beritajawabarat #jawabarat #jabar #ridwankamil #tegaskanmasyarakat #tidakbolehtolak #disuntikvaksincovid19

@ridwankamil https://t.co/oez1dDq7Lz";Positive
